,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
33,34,2377,細見　和広,,02:12:34(62位),03:30:49(57位),05:33:29(47位),08:02:22(47位),10:25:21(46位),16:20:36(52位),19:33:30(51位),21:29:30(41位),25:03:37(37位),26:53:38(33位),29:09:32(34位),08:25.89
34,35,2097,小倉　佑介,,02:11:55(53位),03:31:46(63位),05:37:14(53位),08:05:59(52位),10:29:20(48位),15:44:43(34位),18:39:14(28位),20:47:29(28位),24:19:54(28位),26:26:09(30位),29:09:53(35位),08:25.99
35,36,2359,福井　康太,フル百回楽走会,02:16:13(79位),03:36:05(87位),05:48:53(80位),08:23:48(81位),10:46:54(66位),16:20:40(53位),19:21:05(39位),21:32:05(43位),25:09:12(40位),27:04:21(39位),29:14:17(36位),08:27.26
36,37,2094,奥井　洋平,ONO練,02:12:11(54位),03:31:25(61位),05:48:51(79位),08:23:38(80位),10:53:57(78位),16:33:27(60位),19:31:31(47位),21:27:52(40位),25:08:41(39位),27:02:48(36位),29:14:39(37位),08:27.37
37,38,2460,脇田　久,,02:10:06(46位),03:23:37(36位),05:21:06(33位),07:45:21(31位),10:04:21(34位),15:22:50(30位),18:46:53(33位),21:25:30(39位),25:23:46(47位),27:22:19(48位),29:16:38(38位),08:27.94
38,39,2327,博田　亮,チキンハート,02:17:33(92位),03:35:31(81位),05:45:13(69位),08:20:15(71位),10:53:16(77位),16:22:58(54位),19:28:35(43位),21:46:12(52位),25:20:31(45位),27:10:09(44位),29:16:47(39位),08:27.98
39,40,2232,高井　宏治,静岡走ろう会,02:21:18(149位),03:46:16(163位),06:00:47(124位),08:40:33(119位),11:16:39(108位),16:39:44(61位),19:37:23(53位),21:37:28(44位),25:07:05(38位),27:03:46(38位),29:17:33(40位),08:28.21
40,41,2041,井上　吉博,,02:22:55(166位),03:43:48(144位),05:56:11(113位),08:27:10(85位),11:00:11(82位),16:31:02(58位),19:33:29(50位),21:39:38(50位),25:17:43(44位),27:10:46(45位),29:19:08(41位),08:28.66
41,42,2239,高橋　正幸,東京速度男子,02:08:03(37位),03:25:56(44位),05:30:58(44位),08:02:29(48位),10:16:03(43位),16:03:10(43位),19:29:31(46位),22:05:30(56位),25:33:55(51位),27:35:29(52位),29:19:51(42位),08:28.87
42,43,2314,成田　雅人,TEAM TRAILHEAD,02:18:51(112位),03:38:50(109位),05:55:19(107位),08:36:47(105位),11:09:05(95位),16:49:27(70位),19:53:12(58位),21:55:53(53位),25:29:30(50位),27:30:59(50位),29:21:35(43位),08:29.37
43,44,2355,廣瀬　亮子,,02:17:49(97位),03:37:02(93位),05:47:29(77位),08:16:33(67位),10:47:55(69位),16:28:02(55位),19:28:49(44位),21:38:34(48位),25:11:04(42位),27:04:24(40位),29:22:12(44位),08:29.55
44,45,2326,野村　勝,,02:10:01(44位),03:24:05(38位),05:25:18(36位),07:45:20(30位),10:04:26(35位),15:23:43(31位),18:48:24(34位),21:25:23(38位),25:23:41(46位),27:22:16(47位),29:25:25(45位),08:30.48
45,46,2185,桜井　真一,,02:25:20(209位),03:45:59(159位),05:54:45(105位),08:28:04(87位),10:53:13(76位),16:40:14(62位),19:35:26(52位),21:39:34(49位),25:16:50(43位),27:08:14(43位),29:32:38(46位),08:32.56
